,Rank,Release_Date,Movie_Title,USD_Production_Budget,USD_Worldwide_Gross,USD_Domestic_Gross,Decade
322,3105,1982-02-04,Cat People,12500000,21000000,7000000,1980
323,4011,1982-02-04,Diner,5000000,12592907,12592907,1980
324,3988,1982-03-11,The Man From Snowy River,5000000,20659423,20659423,1980
325,4161,1982-03-19,Porky's,4000000,109492484,109492484,1980
326,3127,1982-04-06,Star Trek II: The Wrath of Khan,12000000,95800000,78912963,1980
327,3290,1982-04-06,Poltergeist,10700000,121706019,74706019,1980
328,2355,1982-05-14,Conan the Barbarian,20000000,79114085,38264085,1980
329,4544,1982-05-21,Mad Max 2: The Road Warrior,2000000,24600832,24600832,1980
330,2286,1982-06-18,Firefox,21000000,45785720,45785720,1980
331,1908,1982-06-25,Blade Runner,28000000,33139618,32656328,1980
332,2629,1982-06-25,Megaforce,18000000,5675599,5675599,1980
333,2304,1982-07-23,The Best Little Whorehouse in Texas,20500000,69701637,69701637,1980
334,2240,1982-08-12,Gandhi,22000000,127767889,52767889,1980
335,2728,1982-08-12,The Verdict,16000000,53977250,53977250,1980
336,4116,1982-08-13,Fast Times at Ridgemont High,4500000,27092880,27092880,1980
337,4525,1982-08-13,Friday the 13th Part 3,2250000,36690067,36690067,1980
338,4017,1982-08-20,The Beastmaster,5000000,10751126,10751126,1980
339,4318,1982-08-20,Class of 1984,3250000,6965361,6965361,1980
340,4041,1982-08-27,Jekyll and Hyde... Together Again,5000000,3707583,3707583,1980
341,2688,1982-09-07,Tron,17000000,26918576,26918576,1980
342,1158,1982-09-17,Inchon,46000000,4408636,4408636,1980
343,3179,1982-10-02,Das Boot,12000000,84970337,11487676,1980
344,3616,1982-10-11,Creepshow,8000000,20036244,20036244,1980
345,2968,1982-10-22,First Blood,14000000,125212904,47212904,1980
346,4475,1982-10-22,Halloween 3: Season of the Witch,2500000,14400000,14400000,1980
347,3294,1982-11-06,ET: The Extra-Terrestrial,10500000,792965326,435110554,1980
348,4808,1982-11-19,Q,1200000,255000,255000,1980
349,3099,1982-12-02,La Guerre du feu,12500000,20959585,20959585,1980
350,2790,1982-12-17,Tootsie,15000000,177200000,177200000,1980
351,5131,1983-01-01,E tu vivrai nel terrore - L'aldilà,400000,126387,126387,1980
352,3300,1983-02-18,Lovesick,10100000,10143618,10143618,1980
353,3129,1983-03-06,WarGames,12000000,74433837,74433837,1980
354,3350,1983-03-25,The Outsiders,10000000,25697647,25697647,1980
355,3903,1983-04-02,Videodrome,5952000,2120439,2120439,1980
356,3711,1983-04-15,Flashdance,7000000,201463574,90463574,1980
357,4012,1983-04-15,Lone Wolf McQuade,5000000,12232628,12232628,1980
358,5142,1983-04-15,The Evil Dead,375000,29400000,2400000,1980
359,1657,1983-05-25,Star Wars Ep. VI: Return of the Jedi,32500000,572705079,309205079,1980
360,1437,1983-06-17,Superman III,39000000,59950623,59950623,1980
361,3342,1983-06-24,Twilight Zone: The Movie,10000000,29500000,29500000,1980
362,1493,1983-07-10,Never Say Never Again,36000000,160000000,55500000,1980
363,2808,1983-07-29,National Lampoon’s Vacation,15000000,61400000,61400000,1980
364,3763,1983-08-04,Losin' It,7000000,1246141,1246141,1980
365,4767,1983-08-19,The Ballad of Gregorio Cortez,1305000,909000,909000,1980
366,2048,1983-09-12,Scarface,25000000,44942821,44942821,1980
367,2896,1983-09-30,Brainstorm,15000000,8921050,8921050,1980
368,1929,1983-10-06,Octopussy,27500000,187500000,67900000,1980
369,1949,1983-10-21,The Right Stuff,27000000,21500000,21500000,1980
370,3357,1983-10-21,The Dead Zone,10000000,20766000,20766000,1980
371,3648,1983-10-28,The Wicked Lady,8000000,589308,589308,1980
372,3140,1983-11-18,Yentl,12000000,39012241,39012241,1980
373,4317,1983-11-18,A Christmas Story,3250000,20605209,20605209,1980
374,1841,1984-01-06,Once Upon a Time in America,30000000,5564014,5321508,1980
375,2570,1984-01-06,Star Trek III: The Search for Spock,18000000,87000000,76471046,1980
376,4722,1984-02-03,Repo Man,1500000,2300000,2300000,1980
377,3595,1984-02-17,Footloose,8200000,80000000,80000000,1980
378,3529,1984-03-16,The Ice Pirates,9000000,13075390,13075390,1980
379,4113,1984-03-23,Police Academy,4500000,81198894,81198894,1980
380,4459,1984-04-13,Friday the 13th Part IV: The Final Chapter,2600000,32980880,32980880,1980
381,5045,1984-04-27,Love Letters,550000,5269990,5269990,1980
382,2788,1984-05-12,Beverly Hills Cop,15000000,316300000,234760478,1980
383,1882,1984-05-23,Indiana Jones and the Temple of Doom,28000000,333080271,179880271,1980
384,3597,1984-06-22,The Karate Kid,8000000,90815558,90815558,1980
385,2596,1984-06-29,Conan the Destroyer,18000000,26400000,26400000,1980
386,1950,1984-07-20,Die Unendliche Geschichte,27000000,21300000,21300000,1980
387,1704,1984-08-06,Ghostbusters,30000000,295212467,242212467,1980
388,3240,1984-08-06,Gremlins,11000000,148168459,148168459,1980
389,2133,1984-08-17,Sheena,25000000,5778353,5778353,1980
390,4786,1984-08-31,C.H.U.D.,1250000,4700000,4700000,1980
391,3599,1984-09-03,Splash,8000000,62599495,62599495,1980
392,3686,1984-09-03,The Hotel New Hampshire,7500000,5142858,5142858,1980
393,4662,1984-09-11,A Nightmare on Elm Street,1800000,25504513,25504513,1980
394,2581,1984-09-19,Amadeus,18000000,51973029,51973029,1980
395,3392,1984-10-26,Body Double,10000000,8801940,8801940,1980
396,3820,1984-10-26,The Terminator,6400000,78019031,38019031,1980
397,2871,1984-11-05,Firestarter,15000000,15136870,15136870,1980
398,1139,1984-12-14,The Cotton Club,48000000,25928721,25928721,1980
399,1204,1984-12-14,Dune,45000000,27447471,27447471,1980
400,1933,1984-12-14,A Passage to India,27500000,27187653,27187653,1980
401,5109,1984-12-31,The Toxic Avenger,475000,0,0,1980
402,4342,1985-01-11,A Nightmare On Elm Street Part 2: Freddy's Revenge,3000000,21163999,21163999,1980
403,4724,1985-01-18,Blood Simple,1500000,2730877,1690913,1980
404,2527,1985-03-07,Back to the Future,19000000,385524862,212259762,1980
405,4775,1985-03-15,Def-Con 4,1300000,210904,210904,1980
406,3333,1985-03-22,The Last Dragon,10000000,33000000,33000000,1980
407,4527,1985-03-22,Friday the 13th Part V: A New Beginning,2200000,21930418,21930418,1980
408,3328,1985-04-10,Commando,10000000,35073978,35073978,1980
409,2604,1985-04-12,Young Sherlock Holmes,18000000,19739000,19739000,1980
410,1233,1985-05-22,Rambo: First Blood Part II,44000000,300400000,150415432,1980
411,1762,1985-05-24,A View to a Kill,30000000,152627960,50327960,1980
412,4592,1985-06-11,Subway,2000000,1663296,390659,1980
413,1955,1985-06-21,Return to Oz,27000000,10618813,10618813,1980
414,2117,1985-06-21,Lifeforce,25000000,11603545,11603545,1980
415,2654,1985-06-28,Red Sonja,17900000,6905861,6905861,1980
416,3788,1985-06-28,Pale Rider,6900000,41410568,41410568,1980
417,4283,1985-06-30,Day of the Dead,3500000,34004262,5804262,1980
418,3132,1985-08-02,Witness,12000000,65532576,65532576,1980
419,4178,1985-08-16,The Return of the Living Dead,4000000,14237880,14237880,1980
420,3365,1985-09-27,Invasion U.S.A.,10000000,17536256,17536256,1980
421,1986,1985-10-07,Silverado,26000000,33200000,33200000,1980
422,3325,1985-10-07,Mad Max Beyond Thunderdome,10000000,36230219,36230219,1980
423,4356,1985-10-25,Krush Groove,3000000,11052713,11052713,1980
424,3737,1985-11-10,Silver Bullet,7000000,10803211,10803211,1980
425,2410,1985-12-04,Ladyhawke,20000000,18400000,18400000,1980
426,1695,1985-12-18,Out of Africa,31000000,258210860,79096868,1980
427,2799,1985-12-18,The Color Purple,15000000,93589701,93589701,1980
428,2890,1985-12-18,Brazil,15000000,9930649,9929135,1980
429,5136,1986-01-04,My Beautiful Laundrette,400000,0,0,1980
430,1424,1986-01-07,Pirates,40000000,6341825,1641825,1980
431,2121,1986-01-07,Big Trouble in Little China,25000000,11100000,11100000,1980
432,1822,1986-01-08,Howard the Duck,30000000,16295774,16295774,1980
433,4345,1986-01-08,Friday the 13th Part VI: Jason Lives,3000000,19472057,19472057,1980
434,2921,1986-01-17,The Clan of the Cave Bear,15000000,1953732,1953732,1980
435,2623,1986-02-21,Nine 1/2 Weeks,18000000,6734844,6734844,1980
436,1623,1986-03-10,Playing for Keeps,35000000,2000000,2000000,1980
437,4010,1986-03-27,April Fool's Day,5000000,12947763,12947763,1980
438,2102,1986-04-18,Legend,25000000,23506237,15502112,1980
439,4125,1986-04-23,Salvador,4500000,1500000,1500000,1980
440,2641,1986-04-25,8 Million Ways to Die,18000000,1305114,1305114,1980
441,2789,1986-05-16,Top Gun,15000000,356800601,179800601,1980
442,3193,1986-06-06,Invaders from Mars,12000000,4984663,4884663,1980
443,1340,1986-06-18,Legal Eagles,40000000,49851591,49851591,1980
444,2760,1986-07-03,Highlander,16000000,12900000,5900000,1980
445,4343,1986-07-03,A Room with a View,3000000,20966644,20966644,1980
446,2667,1986-07-18,Aliens,17000000,183316455,85160248,1980
447,3602,1986-08-08,Stand by Me,8000000,52287414,52287414,1980
448,5261,1986-08-08,She's Gotta Have It,175000,7137502,7137502,1980
449,4101,1986-08-22,The Texas Chainsaw Massacre 2,4700000,8025872,8025872,1980
450,2705,1986-08-29,Shanghai Surprise,17000000,2315000,2315000,1980
451,3564,1986-09-26,Crocodile Dundee,8800000,328203506,174803506,1980
452,2586,1986-10-10,Peggy Sue Got Married,18000000,41382841,41382841,1980
453,3314,1986-10-17,The Color of Money,10000000,52293000,52293000,1980
454,2164,1986-11-26,Star Trek IV: The Voyage Home,24000000,133000000,109713132,1980
455,3126,1986-12-12,The Golden Child,12000000,79817937,79817937,1980
456,1779,1986-12-19,Little Shop of Horrors,30000000,38747385,38747385,1980
457,3829,1986-12-19,Platoon,6000000,137963328,137963328,1980
458,4559,1986-12-31,Witchboard,2000000,7369373,7369373,1980
459,4461,1987-01-01,Maurice,2600000,3147950,3147950,1980
460,5145,1987-01-01,American Ninja 2: The Confrontation,350000,4000000,4000000,1980
461,5298,1987-01-03,Hollywood Shuffle,100000,5228617,5228617,1980
462,3423,1987-01-05,Malone,10000000,3000000,3000000,1980
