Rank,Release_Date,Movie_Title,USD_Production_Budget,USD_Worldwide_Gross,USD_Domestic_Gross
2375,1969-10-15,Paint Your Wagon,20000000,31678778,31678778
3831,1969-10-24,Butch Cassidy and the Sundance Kid,6000000,102308900,102308900
2175,1969-12-16,"Hello, Dolly",24000000,33208099,33208099
3613,1969-12-18,On Her Majesty's Secret Service,8000000,82000000,22800000
4195,1969-12-19,Topaz,4000000,6000000,6000000
2159,1970-01-01,Waterloo,25000000,0,0
2270,1970-01-01,Darling Lili,22000000,5000000,5000000
3136,1970-01-01,Patton,12000000,62500000,62500000
3277,1970-01-01,The Molly Maguires,11000000,2200000,2200000
4265,1970-01-01,M*A*S*H,3500000,81600000,81600000
4855,1970-01-01,Beyond the Valley of the Dolls,1000000,9000000,9000000
5027,1970-03-26,Woodstock,600000,34505110,34505110
4259,1970-05-13,The Ballad of Cable Hogue,3716946,5000000,3500000
4349,1970-05-26,Beneath the Planet of the Apes,3000000,17489009,17489009
2598,1970-06-24,Catch-22,18000000,24911670,24911670
2076,1970-09-23,"Tora, Tora, Tora",25000000,29548291,29548291
3512,1971-01-01,Fiddler on the Roof,9000000,80500000,80500000
3809,1971-01-01,The Andromeda Strain,6500000,12376563,12376563
4477,1971-01-01,Escape from the Planet of the Apes,2500000,12300000,12300000
5270,1971-01-01,Sweet Sweetback's Baad Asssss Song,150000,15200000,15200000
4626,1971-04-28,Bananas,2000000,0,0
4379,1971-06-30,Willy Wonka & the Chocolate Factory,3000000,4000000,4000000
4526,1971-09-10,The French Connection,2200000,41158757,41158757
3705,1971-12-17,Diamonds Are Forever,7200000,116000000,43800000
4686,1972-01-01,Conquest of the Planet of the Apes,1700000,9700000,9700000
3709,1972-03-15,The Godfather,7000000,268500000,134966411
4275,1972-06-21,Frenzy,3500000,12600000,12600000
5356,1972-06-30,Deep Throat,25000,45000000,45000000
5314,1972-08-30,The Last House on the Left,87000,3100000,3100000
4239,1972-09-11,1776,4000000,0,0
4548,1972-11-08,Everything You Always Wanted to Know,2000000,18016290,18016290
4665,1973-01-01,Battle for the Planet of the Apes,1800000,8800000,8800000
4106,1973-05-23,Pat Garrett and Billy the Kid,4638783,11000000,8000000
3714,1973-06-27,Live and Let Die,7000000,161800000,35400000
3926,1973-08-22,High Plains Drifter,5500000,15700000,15700000
4994,1973-11-08,American Graffiti,777000,140000000,115000000
4547,1973-12-17,Sleeper,2000000,18344729,18344729
3921,1973-12-25,The Sting,5500000,159616327,159616327
3121,1973-12-26,The Exorcist,12000000,400214478,202347346
4458,1974-01-01,Blazing Saddles,2600000,119500000,119500000
3720,1974-03-29,The Great Gatsby,7000000,26533200,26533200
4696,1974-07-04,The Conversation,1600000,4420000,4420000
5280,1974-10-18,The Texas Chainsaw Massacre,140000,26572439,26572439
3038,1974-11-12,The Godfather: Part II,13000000,57300000,57300000
5049,1974-11-15,Benji,500000,31559560,31559560
4442,1974-12-15,Young Frankenstein,2800000,86300000,86300000
2961,1974-12-17,Towering Inferno,14000000,139700000,116000000
4176,1974-12-17,The Front Page,4000000,15000000,15000000
3726,1974-12-20,The Man with the Golden Gun,7000000,97600000,21000000
3261,1975-01-01,Barry Lyndon,11000000,20169934,20000000
5176,1975-01-04,Death Race 2000,300000,0,0
3968,1975-05-16,The Return of the Pink Panther,5000000,41833347,41833347
3120,1975-06-20,Jaws,12000000,470700000,260000000
4791,1975-09-26,The Rocky Horror Picture Show,1200000,140556781,140510017
5125,1975-10-05,Monty Python and the Holy Grail,400000,5028948,3427696
4344,1975-10-06,Love and Death,3000000,20123742,20123742
4145,1975-11-19,One Flew Over the Cuckoo's Nest,4400000,108981275,108981275
3723,1976-01-01,Logan's Run,7000000,25000000,25000000
4251,1976-01-01,Network,3800000,23689877,23689877
4805,1976-01-01,The Blue Bird,1200000,887000,887000
4146,1976-06-25,Silent Movie,4400000,36145695,36145695
4443,1976-06-25,The Omen,2800000,48570885,48570885
4844,1976-08-02,Taxi Driver,1000000,28316211,28262574
4353,1976-09-04,Family Plot,3000000,13200000,13200000
4025,1976-11-03,Robin and Marian,5000000,8000000,8000000
4661,1976-11-16,Carrie,1800000,25878153,25878153
4840,1976-11-21,Rocky,1000000,225000000,117235147
2202,1976-12-17,King Kong,23000000,90614445,52614445
5051,1977-01-01,Kingdom of the Spiders,500000,17000000,17000000
5297,1977-01-01,Eraserhead,100000,7012524,7000000
3326,1977-03-11,Pete’s Dragon,10000000,36000000,36000000
4165,1977-04-20,Annie Hall,4000000,38251425,38251425
3765,1977-05-08,March or Die,7000000,1000000,1000000
3239,1977-05-25,Star Wars Ep. IV: A New Hope,11000000,786598007,460998007
1978,1977-06-15,A Bridge Too Far,26000000,50800000,50800000
2980,1977-06-17,Exorcist II: The Heretic,14000000,25011000,25011000
2989,1977-06-22,"New York, New York",14000000,13800000,13800000
2278,1977-06-24,Sorcerer,21600000,12000000,12000000
2969,1977-07-13,The Spy Who Loved Me,14000000,185400000,46800000
5028,1977-10-08,The Kentucky Fried Movie,600000,20000000,15000000
2713,1977-10-21,Damnation Alley,17000000,0,0
2309,1977-11-16,Close Encounters of the Third Kind,20000000,337700000,166000000
4304,1977-12-23,High Anxiety,3400000,31063038,31063038
3009,1978-01-01,Caravans,14000000,1000000,1000000
3165,1978-01-01,The Boys from Brazil,12000000,19000000,19000000
4338,1978-01-01,Coming Home,3000000,32653000,32653000
3260,1978-04-13,F.I.S.T,11000000,20388920,20388920
2318,1978-06-16,Jaws 2,20000000,208900376,102922376
3828,1978-06-16,Grease,6000000,387513770,181813770
2798,1978-06-28,Heaven Can Wait,15000000,98800000,98800000
4330,1978-07-28,National Lampoon's Animal House,3000000,141600000,141600000
4382,1978-09-13,Days of Heaven,3000000,3660880,3446749
5153,1978-10-17,Halloween,325000,70000000,47000000
2186,1978-10-24,The Wiz,24000000,13000000,13000000
912,1978-12-15,Superman,55000000,300200000,134218018
4026,1978-12-22,Force 10 from Navarone,5000000,7100000,7100000
2814,1979-01-01,The Deer Hunter,15000000,50000000,50000000
3885,1979-02-02,The First Great Train Robbery,6000000,391942,391942
4717,1979-04-20,Dawn of the Dead,1500000,55000000,5100000
3106,1979-05-25,The Prisoner of Zenda,12500000,7000000,7000000
3510,1979-05-25,Alien,9000000,203630630,80930630
3160,1979-06-15,Prophecy,12000000,22673340,22673340
3598,1979-06-22,The Muppet Movie,8000000,76657000,76657000
3604,1979-06-22,Escape from Alcatraz,8000000,43000000,43000000
1696,1979-06-29,Moonraker,31000000,210300000,70300000
5266,1979-06-30,Dolphin,170000,14000,14000
3573,1979-07-11,The Rose,8500000,29200000,29200000
1521,1979-07-12,Star Trek: The Motion Picture,35000000,139000000,82258456
1691,1979-08-15,Apocalypse Now,31500000,81250488,78800000
4173,1979-08-17,The Life of Brian,4000000,20008693,20008693
4449,1979-10-17,The Black Stallion,2700000,37799643,37799643
2759,1979-10-19,Meteor,16000000,8400000,8400000
1676,1979-12-14,1941,32000000,94875000,34175000
2361,1979-12-21,The Black Hole,20000000,35841901,35841901
1624,1980-01-01,Lion of the Desert,35000000,1500000,1500000
3805,1980-01-01,Dressed to Kill,6500000,31899000,31899000
4279,1980-01-01,Terror Train,3500000,8000000,8000000
5144,1980-01-01,Maniac,350000,10000000,10000000
4846,1980-01-02,The Fog,1000000,21378361,21378361
1414,1980-01-08,Raise the Titanic,40000000,7000000,7000000
3952,1980-03-10,Somewhere in Time,5100000,9709597,9709597
3977,1980-03-10,The Elephant Man,5000000,26010864,26010864
5229,1980-03-21,Mad Max,200000,99750000,8750000
4264,1980-04-07,Airplane!,3500000,83453539,83453539
1573,1980-05-12,Flash Gordon,35000000,27107960,27107960
3374,1980-05-16,The Long Riders,10000000,15198912,15198912
5132,1980-05-16,Home Movies,400000,89134,89134
2196,1980-05-21,Star Wars Ep. V: The Empire Strikes Back,23000000,534171960,290271960
2536,1980-05-23,The Shining,19000000,44391156,44017374
3929,1980-06-06,Galaxina,5500000,4865000,4865000
2261,1980-06-13,The Island,22000000,15716828,15716828
1941,1980-06-20,The Blues Brothers,27000000,57229890,57229890
2490,1980-06-20,Can't Stop the Music,20000000,2000000,2000000
4115,1980-06-20,The Blue Lagoon,4500000,47923795,47923795
2805,1980-07-03,Coal Miner's Daughter,15000000,67182787,67182787
3836,1980-07-25,Caddyshack,6000000,39846344,39846344
5044,1980-09-05,Friday the 13th,550000,59754601,39754601
3833,1980-09-19,Ordinary People,6000000,52302978,52302978
5301,1980-10-05,Penitentiary,100000,287000,287000
2804,1980-10-10,Private Benjamin,15000000,69847348,69847348
2600,1980-11-14,Raging Bull,18000000,23380203,23380203
1238,1980-11-19,Heaven's Gate,44000000,3484523,3484331
2340,1980-12-12,Popeye,20000000,49823037,49823037
2707,1981-01-01,Roar,17000000,2110050,2110050
5185,1981-01-05,Graduation Day,250000,23894000,23894000
3177,1981-03-20,The Postman Always Rings Twice,12000000,44200000,12200000
1642,1981-04-12,Reds,33500000,50000000,50000000
4784,1981-04-30,Friday the 13th Part 2,1250000,21722776,21722776
2617,1981-05-22,The Legend of the Lone Ranger,18000000,13400000,13400000
3804,1981-05-22,The Four Seasons,6500000,42488161,42488161
3143,1981-06-11,Time Bandits,12000000,37400000,37400000
969,1981-06-19,Superman II,54000000,108185706,108185706
1896,1981-06-26,For Your Eyes Only,28000000,195300000,54800000
2625,1981-06-26,Dragonslayer,18000000,6000000,6000000
3306,1981-06-26,Stripes,10000000,85300000,85300000
3504,1981-07-08,Heavy Metal,9300000,19571091,19571091
2615,1981-07-24,Blow Out,18000000,13747234,13747234
2409,1981-07-31,Under the Rainbow,20000000,18826490,18826490
4370,1981-08-28,Gallipoli,3000000,5732587,5732587
2971,1981-09-12,Taps,14000000,35856053,35856053
3992,1981-09-18,Mommie Dearest,5000000,25032000,19032000
3922,1981-09-25,Chariots of Fire,5500000,57467731,57159946
4001,1981-10-04,Nighthawks,5000000,19600000,14600000
4848,1981-10-04,The Howling,1000000,17985000,17985000
3840,1981-10-07,Escape from New York,6000000,25244700,25244700
4474,1981-10-30,Halloween II,2500000,25533818,25533818
3427,1981-11-02,Sphinx,10000000,11400000,2000000
3201,1981-11-13,The Pursuit of D.B. Cooper,12000000,2104164,2104164
2306,1981-12-06,Raiders of the Lost Ark,20000000,389925971,248159971
2843,1981-12-06,Clash of the Titans,15000000,44400000,30000000
3256,1981-12-06,History of the World: Part I,11000000,31672000,31672000
3409,1981-12-18,Heartbeeps,10000000,6000000,6000000
3612,1981-12-25,Modern Problems,8000000,24474312,24474312
3024,1982-01-29,The Border,13500000,6118683,6118683
3105,1982-02-04,Cat People,12500000,21000000,7000000
4011,1982-02-04,Diner,5000000,12592907,12592907
3988,1982-03-11,The Man From Snowy River,5000000,20659423,20659423
4161,1982-03-19,Porky's,4000000,109492484,109492484
3127,1982-04-06,Star Trek II: The Wrath of Khan,12000000,95800000,78912963
3290,1982-04-06,Poltergeist,10700000,121706019,74706019
2355,1982-05-14,Conan the Barbarian,20000000,79114085,38264085
4544,1982-05-21,Mad Max 2: The Road Warrior,2000000,24600832,24600832
2286,1982-06-18,Firefox,21000000,45785720,45785720
1908,1982-06-25,Blade Runner,28000000,33139618,32656328
2629,1982-06-25,Megaforce,18000000,5675599,5675599
2304,1982-07-23,The Best Little Whorehouse in Texas,20500000,69701637,69701637
2240,1982-08-12,Gandhi,22000000,127767889,52767889
2728,1982-08-12,The Verdict,16000000,53977250,53977250
4116,1982-08-13,Fast Times at Ridgemont High,4500000,27092880,27092880
4525,1982-08-13,Friday the 13th Part 3,2250000,36690067,36690067
4017,1982-08-20,The Beastmaster,5000000,10751126,10751126
4318,1982-08-20,Class of 1984,3250000,6965361,6965361
4041,1982-08-27,Jekyll and Hyde... Together Again,5000000,3707583,3707583
2688,1982-09-07,Tron,17000000,26918576,26918576
1158,1982-09-17,Inchon,46000000,4408636,4408636
3179,1982-10-02,Das Boot,12000000,84970337,11487676
3616,1982-10-11,Creepshow,8000000,20036244,20036244
2968,1982-10-22,First Blood,14000000,125212904,47212904
4475,1982-10-22,Halloween 3: Season of the Witch,2500000,14400000,14400000
3294,1982-11-06,ET: The Extra-Terrestrial,10500000,792965326,435110554
